Period,"Summer (1 Nov - 31 Mar) (Megawatts)","Winter (1 May - 31 Jul) (Megawatts)"
Summer 1998/99,23026,
Winter 1999,,25713
Summer 1999/00,25301,
Winter 2000,,26977
Summer 2000/01,27502,
Winter 2001,,26569
Summer 2001/02,26303,
Winter 2002,,27230
Summer 2002/03,28480,
Winter 2003,,28358
Summer 2003/04,29791,
Winter 2004,,29242
Summer 2004/05,28803,
Winter 2005,,31244
Summer 2005/06,31271,
Winter 2006,,31789
Summer 2006/07,32239,
Winter 2007,,33470
Summer 2007/08,32307,
Winter 2008,,34594
Summer 2008/09,35833,
Winter 2009,,32354
Summer 2009/10,34397,
Winter 2010,,32860
Summer 2010/11,35662,
Winter 2011,,32150
Summer 2011/12,30609,
Winter 2012,,31250
Summer 2012/13,32538,
Winter 2013,,30278
Summer 2013/14,33610,
Winter 2014,,30114
Summer 2014/15,29471,
Winter 2015,,31224
Summer 2015/16,32859,
Winter 2016,,31977
Summer 2016/17,34823,
Winter 2017,,30810
Summer 2017/18,32469,
Winter 2018,,31548
Summer 2018/19,33941,
Winter 2019,,31778
Summer 2019/20,35626,
Winter 2020,,30917
Summer 2020/21,30763,
Winter 2021,,31945
Summer 2021/22,32761,
Winter 2022,,32553
Summer 2022/23,30834,
Winter 2023,,32569
Summer 2023/24,33358,
Winter 2024,,33612
Summer 2024/25,34067,
Winter 2025,,33497
Summer 2025/26 (YTD),33866,
