determination,financial_year,region,zone,residential_flat_no_cl_aud,residential_with_cl_aud,small_business_aud
DMO 1,2019-20,NSW,Ausgrid,1467,2059,7371
DMO 2,2020-21,NSW,Ausgrid,1462,2024,7240
DMO 3,2021-22,NSW,Ausgrid,1393,1912,6900
DMO 4,2022-23,NSW,Ausgrid,1512,2122,4360
DMO 5,2023-24,NSW,Ausgrid,1827,2562,4999
DMO 6,2024-25,NSW,Ausgrid,1810,2509,4612
DMO 7,2025-26,NSW,Ausgrid,1965,,
DMO 8,2026-27,NSW,Ausgrid,1899,,
DMO 1,2019-20,NSW,Endeavour Energy,1720,2166,6204
DMO 2,2020-21,NSW,Endeavour Energy,1711,2165,6177
DMO 3,2021-22,NSW,Endeavour Energy,1609,2014,5736
DMO 4,2022-23,NSW,Endeavour Energy,1836,2383,3782
DMO 5,2023-24,NSW,Endeavour Energy,2228,2977,4598
DMO 6,2024-25,NSW,Endeavour Energy,2223,2801,4422
DMO 7,2025-26,NSW,Endeavour Energy,2411,,
DMO 8,2026-27,NSW,Endeavour Energy,2328,,
DMO 1,2019-20,NSW,Essential Energy,1957,2375,8045
DMO 2,2020-21,NSW,Essential Energy,1960,2356,8041
DMO 3,2021-22,NSW,Essential Energy,1907,2271,7791
DMO 4,2022-23,NSW,Essential Energy,2092,2490,4901
DMO 5,2023-24,NSW,Essential Energy,2527,2977,5761
DMO 6,2024-25,NSW,Essential Energy,2513,2931,5733
DMO 7,2025-26,NSW,Essential Energy,2741,,
DMO 8,2026-27,NSW,Essential Energy,2604,,
DMO 1,2019-20,SE QLD,Energex,1570,1927,6025
DMO 2,2020-21,SE QLD,Energex,1508,1812,5760
DMO 3,2021-22,SE QLD,Energex,1455,1741,5517
DMO 4,2022-23,SE QLD,Energex,1620,1961,3446
DMO 5,2023-24,SE QLD,Energex,1969,2363,4202
DMO 6,2024-25,SE QLD,Energex,2066,2414,4261
DMO 7,2025-26,SE QLD,Energex,2143,,
DMO 8,2026-27,SE QLD,Energex,1988,,
DMO 1,2019-20,SA,SA Power Networks,1941,2420,9120
DMO 2,2020-21,SA,SA Power Networks,1832,2244,8305
DMO 3,2021-22,SA,SA Power Networks,1716,2077,8033
DMO 4,2022-23,SA,SA Power Networks,1840,2275,4539
DMO 5,2023-24,SA,SA Power Networks,2279,2787,5849
DMO 6,2024-25,SA,SA Power Networks,2230,2760,5352
DMO 7,2025-26,SA,SA Power Networks,2301,,
DMO 8,2026-27,SA,SA Power Networks,2334,,
